time,temperature (C),Volumetric Water Content (%),Electrical Conductivity (uS/cm),latitude,longlitude
2025-04-17 16:31:21,28.87,38.91,1523,51.976236880597,5.62350479104478
2025-04-17 16:02:34,23.51,19.1,422,51.976236880597,5.62379404477612
2025-04-17 16:28:03,28.33,100,5141,51.976236880597,5.62408329850746
2025-04-17 16:33:56,28.23,53.27,2221,51.976236880597,5.62437255223881
2025-04-15 09:25:28,8.18,0,0,51.976236880597,5.62466180597015
2025-04-17 16:33:01,29.04,55.08,2960,51.976236880597,5.62495105970149
2025-04-14 14:47:24,24.59,14.29,157,51.976236880597,5.62524031343284
2025-04-17 16:26:35,30.01,100,5933,51.976236880597,5.62552956716418
2025-04-15 09:33:38,17.12,10.63,106,51.976236880597,5.62581882089552
2025-04-17 16:15:20,22.56,38.91,2305,51.976236880597,5.62610807462687
2025-04-17 16:03:21,23.4,17.92,375,51.976236880597,5.62639732835821
2025-04-14 15:46:19,30.83,25.07,612,51.976236880597,5.62668658208955
2025-04-14 15:45:24,30.03,21.8,728,51.976236880597,5.6269758358209
2025-04-14 16:38:05,34.53,10.7,112,51.976236880597,5.62726508955224
2025-04-14 16:38:44,35.39,12.17,153,51.976236880597,5.62755434328358
2025-04-15 09:22:26,9.84,9.49,76,51.976236880597,5.62784359701493
2025-04-17 16:15:46,23.2,53.27,2662,51.976236880597,5.62813285074627
2025-04-15 09:24:12,8.74,18.12,474,51.976236880597,5.62842210447761
2025-04-17 16:03:05,23.4,17.66,411,51.976236880597,5.62871135820896
2025-04-17 16:28:11,28.38,100,5123,51.976236880597,5.6290006119403
2025-04-17 16:15:06,23.12,36.68,1767,51.976236880597,5.62928986567164
2025-04-15 09:21:12,9.52,12.32,102,51.976236880597,5.62957911940299
2025-04-14 14:48:11,24.69,13.36,162,51.976236880597,5.62986837313433
2025-04-14 15:43:20,30.03,10.63,95,51.976236880597,5.63015762686567
2025-04-17 16:31:46,28.82,53.51,2361,51.976236880597,5.63044688059702
2025-04-17 16:14:46,23.28,9.61,504,51.976236880597,5.63073613432836
2025-04-17 16:03:59,23.48,15.68,451,51.976236880597,5.6310253880597
,28.77,100,4729,51.976236880597,5.63131464179105
2025-04-17 16:31:15,29.01,56.07,3067,51.976236880597,5.63160389552239
2025-04-14 16:38:09,34.24,6.27,104,51.976236880597,5.63189314925373
2025-04-17 16:03:53,23.51,20.13,448,51.976236880597,5.63218240298508
2025-04-14 16:20:22,33.76,21.69,431,51.976236880597,5.63247165671642
2025-04-14 14:43:20,24.22,22.54,450,51.976236880597,5.63276091044776
2025-04-14 16:37:52,34.86,11.85,104,51.976236880597,5.6330501641791
2025-04-14 14:43:50,24.34,21.96,474,51.976236880597,5.63333941791045
2025-04-17 16:31:31,28.72,53.27,2338,51.976236880597,5.63362867164179
2025-04-15 09:24:32,8.84,15.3,396,51.976236880597,5.63391792537313
2025-04-17 16:17:23,23.2,51.12,2533,51.976236880597,5.63420717910448
2025-04-14 14:42:45,24.19,18.94,465,51.976236880597,5.63449643283582
2025-04-17 16:28:21,26.71,0,160,51.976236880597,5.63478568656716
2025-04-15 09:40:07,17.84,15.26,358,51.976236880597,5.63507494029851
2025-04-15 09:22:35,10.04,9.49,76,51.976236880597,5.63536419402985
2025-04-17 16:07:12,23.02,78.1,5998,51.976236880597,5.63565344776119
2025-04-14 14:43:06,24.22,20.45,410,51.976236880597,5.63594270149254
2025-04-15 09:25:13,8.64,15.51,379,51.976236880597,5.63623195522388
2025-04-14 15:44:00,30.39,13.01,157,51.976236880597,5.63652120895522
2025-04-15 09:40:44,17.81,15.3,363,51.976236880597,5.63681046268657
2025-04-14 14:42:02,24.37,21.29,500,51.976236880597,5.63709971641791
2025-04-17 16:02:44,23.51,19.1,423,51.976236880597,5.63738897014925
2025-04-15 09:32:44,16.45,10.9,114,51.976236880597,5.6376782238806
2025-04-14 15:44:30,30.25,11.69,94,51.976236880597,5.63796747761194
2025-04-17 16:26:32,29.96,100,5941,51.976236880597,5.63825673134328
2025-04-17 16:26:41,30.01,11.33,2782,51.976236880597,5.63854598507463
2025-04-15 09:21:51,9.94,9.77,107,51.976236880597,5.63883523880597
2025-04-15 09:22:40,10.1,9.49,76,51.976236880597,5.63912449253731
2025-04-14 14:42:26,24.27,22.13,512,51.976236880597,5.63941374626866
2025-04-17 16:31:21,28.94,25.07,1071,51.976236880597,5.639703
2025-04-17 16:28:05,28.28,100,5122,51.976383761194,5.620323
2025-04-17 16:14:23,23.07,30.62,988,51.976383761194,5.62061225373134
2025-04-17 16:30:00,28.38,51.5,2503,51.976383761194,5.62090150746269
2025-04-15 09:31:59,16.73,9.28,71,51.976383761194,5.62119076119403
2025-04-14 16:20:59,33.02,23.88,518,51.976383761194,5.62148001492537
2025-04-17 16:00:01,24.01,2.82,24,51.976383761194,5.62176926865672
2025-04-17 16:32:24,29.84,64.25,3505,51.976383761194,5.62205852238806
2025-04-14 16:38:18,35.03,9.23,82,51.976383761194,5.6223477761194
2025-04-14 16:21:07,32.99,23.88,519,51.976383761194,5.62263702985075
2025-04-17 16:30:48,30.47,16.65,882,51.976383761194,5.62292628358209
2025-04-17 16:14:13,22.46,0,18,51.976383761194,5.62321553731343
2025-04-17 16:02:53,23.48,6.93,201,51.976383761194,5.62350479104478
2025-04-14 15:46:07,30.25,25,612,51.976383761194,5.62379404477612
2025-04-17 16:07:31,23.15,79.91,5129,51.976383761194,5.62408329850746
2025-04-14 14:43:00,24.16,20.45,404,51.976383761194,5.62437255223881
2025-04-17 16:26:46,29.47,90,5200,51.976383761194,5.62466180597015
2025-04-15 09:32:18,16.73,9.28,73,51.976383761194,5.62495105970149
2025-04-17 16:06:13,23.68,69.24,4901,51.976383761194,5.62524031343284
2025-04-17 15:59:52,24.14,10.63,86,51.976383761194,5.62552956716418
2025-04-14 16:20:16,33.79,21.66,426,51.976383761194,5.62581882089552
2025-04-15 09:25:26,8.18,15.68,378,51.976383761194,5.62610807462687
2025-04-15 09:33:23,17.15,10.63,105,51.976383761194,5.62639732835821
2025-04-17 16:31:05,29.08,56.07,3063,51.976383761194,5.62668658208955
2025-04-14 14:47:37,24.64,12.54,141,51.976383761194,5.6269758358209
2025-04-14 16:38:50,35.49,12.17,154,51.976383761194,5.62726508955224
2025-04-15 09:24:23,8.71,17.82,464,51.976383761194,5.62755434328358
2025-04-14 14:46:50,24.49,16.18,245,51.976383761194,5.62784359701493
2025-04-15 09:39:49,17.59,17.46,461,51.976383761194,5.62813285074627
2025-04-17 16:17:07,23.12,55.7,2951,51.976383761194,5.62842210447761
2025-04-15 09:39:39,17.42,17.46,460,51.976383761194,5.62871135820896
2025-04-17 16:06:29,23.23,78.45,5241,51.976383761194,5.6290006119403
2025-04-15 09:21:42,9.78,9.44,81,51.976383761194,5.62928986567164
2025-04-15 09:39:01,17.56,15.51,384,51.976383761194,5.62957911940299
2025-04-15 09:40:51,17.81,15.26,363,51.976383761194,5.62986837313433
2025-04-14 14:47:04,24.49,0,35,51.976383761194,5.63015762686567
2025-04-14 14:47:33,24.62,12.54,139,51.976383761194,5.63044688059702
2025-04-17 16:30:07,28.55,51.5,2503,51.976383761194,5.63073613432836
2025-04-17 16:33:47,28.16,53.27,2224,51.976383761194,5.6310253880597
2025-04-17 16:31:51,28.84,53.51,2371,51.976383761194,5.63131464179105
2025-04-17 16:32:17,30.25,62.48,3237,51.976383761194,5.63160389552239
2025-04-15 09:33:46,17.12,10.63,108,51.976383761194,5.63189314925373
2025-04-15 09:33:44,17.12,10.63,108,51.976383761194,5.63218240298508
2025-04-14 16:38:27,35.2,12.17,151,51.976383761194,5.63247165671642
2025-04-15 09:32:22,16.73,0,82,51.976383761194,5.63276091044776
2025-04-14 15:45:59,29.43,24.95,621,51.976383761194,5.6330501641791
2025-04-15 09:33:16,17.23,10.63,101,51.976383761194,5.63333941791045
2025-04-14 16:21:13,32.97,23.88,520,51.976383761194,5.63362867164179
2025-04-15 09:24:11,8.71,18.12,474,51.976383761194,5.63391792537313
2025-04-17 16:02:32,23.53,19.1,419,51.976383761194,5.63420717910448
2025-04-14 16:20:19,33.79,21.66,430,51.976383761194,5.63449643283582
2025-04-17 16:25:52,27.2,100,6192,51.976383761194,5.63478568656716
2025-04-17 16:07:42,23.2,82.66,5320,51.976383761194,5.63507494029851
2025-04-17 16:27:44,28.91,100,5358,51.976383761194,5.63536419402985
2025-04-14 15:43:36,30.49,0.37,13,51.976383761194,5.63565344776119
2025-04-15 09:25:43,8.61,14.9,371,51.976383761194,5.63594270149254
2025-04-15 09:33:32,17.12,10.63,106,51.976383761194,5.63623195522388
2025-04-15 09:41:23,17.84,17.62,470,51.976383761194,5.63652120895522
2025-04-14 16:37:33,35.29,13.01,170,51.976383761194,5.63681046268657
2025-04-17 16:16:51,22.82,53.11,2537,51.976383761194,5.63709971641791
2025-04-15 09:21:10,9.52,12.32,102,51.976383761194,5.63738897014925
2025-04-14 14:42:12,24.27,21.75,548,51.976383761194,5.6376782238806
2025-04-14 14:42:34,24.32,22.33,518,51.976383761194,5.63796747761194
2025-04-17 16:06:23,23.33,85.23,5329,51.976383761194,5.63825673134328
2025-04-15 09:33:40,17.12,10.63,107,51.976383761194,5.63854598507463
2025-04-17 16:15:07,23.17,36.85,1772,51.976383761194,5.63883523880597
2025-04-17 16:03:43,23.45,19.92,443,51.976383761194,5.63912449253731
2025-04-17 16:27:21,27.99,97.27,4598,51.976383761194,5.63941374626866
2025-04-17 16:27:14,28.13,91.57,5420,51.976383761194,5.639703
2025-04-17 16:32:45,29.69,64.25,3516,51.976530641791,5.620323
2025-04-17 16:26:23,29.76,100,5961,51.976530641791,5.62061225373134
2025-04-17 16:02:13,23.58,19.31,496,51.976530641791,5.62090150746269
2025-04-17 16:26:11,28.57,100,6029,51.976530641791,5.62119076119403
2025-04-17 16:27:47,28.67,100,5408,51.976530641791,5.62148001492537
2025-04-17 16:15:01,23.07,13.01,629,51.976530641791,5.62176926865672
2025-04-15 09:32:23,16.78,9.61,122,51.976530641791,5.62205852238806
2025-04-17 16:06:10,23.76,68.11,4891,51.976530641791,5.6223477761194
2025-04-14 15:45:43,29.64,23.34,481,51.976530641791,5.62263702985075
2025-04-17 16:00:45,23.28,2.76,48,51.976530641791,5.62292628358209
2025-04-15 09:22:52,11.1,0,0,51.976530641791,5.62321553731343
2025-04-15 09:40:15,17.81,15.26,360,51.976530641791,5.62350479104478
2025-04-17 16:32:27,29.74,64.25,3505,51.976530641791,5.62379404477612
2025-04-15 09:24:43,8.74,15.3,401,51.976530641791,5.62408329850746
2025-04-17 16:03:12,23.45,12.43,207,51.976530641791,5.62437255223881
2025-04-14 15:43:53,30.22,13.01,155,51.976530641791,5.62466180597015
2025-04-15 09:24:15,8.71,18.12,474,51.976530641791,5.62495105970149
2025-04-17 16:26:28,29.91,100,5945,51.976530641791,5.62524031343284
2025-04-15 09:32:27,16.76,9.56,128,51.976530641791,5.62552956716418
2025-04-17 16:28:17,27.79,9.98,467,51.976530641791,5.62581882089552
2025-04-14 16:39:28,34.82,12.37,146,51.976530641791,5.62610807462687
2025-04-17 16:31:21,28.94,25.07,1523,51.976530641791,5.62639732835821
2025-04-17 16:32:36,29.72,64.25,3518,51.976530641791,5.62668658208955
2025-04-17 16:06:05,23.91,67.26,4839,51.976530641791,5.6269758358209
2025-04-17 16:16:00,23.1,45.38,2050,51.976530641791,5.62726508955224
2025-04-17 16:26:36,30.01,100,5944,51.976530641791,5.62755434328358
2025-04-17 16:15:05,23.1,36.79,1764,51.976530641791,5.62784359701493
2025-04-17 16:31:16,29.01,56.16,3067,51.976530641791,5.62813285074627
2025-04-14 16:38:34,35.29,12.17,154,51.976530641791,5.62842210447761
2025-04-14 16:20:24,33.76,20.4,30,51.976530641791,5.62871135820896
2025-04-14 16:20:25,33.79,0.62,30,51.976530641791,5.6290006119403
2025-04-14 15:46:10,30.49,25.07,612,51.976530641791,5.62928986567164
2025-04-17 16:33:37,28.28,49.07,1918,51.976530641791,5.62957911940299
2025-04-17 16:31:20,28.96,26.32,1082,51.976530641791,5.62986837313433
2025-04-17 16:06:36,23.17,79.54,5397,51.976530641791,5.63015762686567
2025-04-17 16:06:25,23.3,86.58,5331,51.976530641791,5.63044688059702
2025-04-15 09:21:46,9.91,9.77,104,51.976530641791,5.63073613432836
2025-04-17 16:26:27,29.91,100,5947,51.976530641791,5.6310253880597
2025-04-17 16:03:39,23.4,20.28,441,51.976530641791,5.63131464179105
,17.81,15.26,363,51.976530641791,5.63160389552239
2025-04-17 16:31:36,28.74,53.43,2350,51.976530641791,5.63189314925373
2025-04-15 09:41:03,17.84,15.3,362,51.976530641791,5.63218240298508
2025-04-17 15:59:51,24.16,10.74,95,51.976530641791,5.63247165671642
2025-04-17 16:31:54,28.84,53.51,2376,51.976530641791,5.63276091044776
2025-04-15 09:41:16,17.89,17.62,467,51.976530641791,5.6330501641791
2025-04-15 09:26:02,8.71,14.95,372,51.976530641791,5.63333941791045
2025-04-15 09:25:05,8.71,16.18,376,51.976530641791,5.63362867164179
2025-04-14 14:43:38,24.29,22.33,477,51.976530641791,5.63391792537313
2025-04-17 16:07:10,23.12,17.36,962,51.976530641791,5.63420717910448
2025-04-14 14:43:12,24.27,20.49,413,51.976530641791,5.63449643283582
2025-04-17 16:26:45,29.47,90,5190,51.976530641791,5.63478568656716
2025-04-17 16:04:05,23.43,15.97,445,51.976530641791,5.63507494029851
2025-04-15 09:41:06,17.84,3.54,151,51.976530641791,5.63536419402985
2025-04-17 16:32:21,30.03,64.25,3405,51.976530641791,5.63565344776119
2025-04-17 16:33:33,28.5,54.99,3044,51.976530641791,5.63594270149254
2025-04-17 16:32:00,29.04,61.61,3293,51.976530641791,5.63623195522388
2025-04-17 16:03:58,23.48,16.18,454,51.976530641791,5.63652120895522
2025-04-17 16:25:53,27.23,100,6191,51.976530641791,5.63681046268657
2025-04-17 16:00:27,23.33,10.42,91,51.976530641791,5.63709971641791
2025-04-17 16:00:43,23.38,0,0,51.976530641791,5.63738897014925
,17.51,17.46,461,51.976530641791,5.6376782238806
2025-04-17 16:31:37,28.74,53.43,2350,51.976530641791,5.63796747761194
2025-04-14 14:42:11,24.24,21.75,546,51.976530641791,5.63825673134328
2025-04-14 14:47:17,24.49,15.01,165,51.976530641791,5.63854598507463
2025-04-14 14:43:22,24.19,22.13,455,51.976530641791,5.63883523880597
2025-04-14 15:46:03,29.84,25.07,613,51.976530641791,5.63912449253731
2025-04-17 16:16:30,22.84,51.8,2451,51.976530641791,5.63941374626866
2025-04-15 09:22:50,10.64,0,0,51.976530641791,5.639703
2025-04-17 16:27:55,28.5,100,5419,51.9766775223881,5.620323
2025-04-15 09:25:59,8.71,15.01,372,51.9766775223881,5.62061225373134
2025-04-15 09:24:03,8.74,18.12,473,51.9766775223881,5.62090150746269
2025-04-15 09:24:52,8.84,15.97,371,51.9766775223881,5.62119076119403
2025-04-14 16:37:45,35.29,13.01,158,51.9766775223881,5.62148001492537
2025-04-14 16:39:02,35.39,10.86,103,51.9766775223881,5.62176926865672
2025-04-17 15:59:55,24.09,10.54,82,51.9766775223881,5.62205852238806
2025-04-17 16:00:21,23.48,11.49,119,51.9766775223881,5.6223477761194
2025-04-17 16:16:56,22.97,54.65,2944,51.9766775223881,5.62263702985075
2025-04-17 16:06:11,23.71,68.11,4895,51.9766775223881,5.62292628358209
2025-04-15 09:40:10,17.84,15.26,360,51.9766775223881,5.62321553731343
2025-04-17 16:31:25,28.67,53.19,2304,51.9766775223881,5.62350479104478
2025-04-17 16:00:21,23.51,11.49,119,51.9766775223881,5.62379404477612
2025-04-15 09:33:42,17.12,10.63,108,51.9766775223881,5.62408329850746
2025-04-14 15:43:25,30.01,7.49,131,51.9766775223881,5.62437255223881
2025-04-17 16:00:03,23.96,10.47,101,51.9766775223881,5.62466180597015
2025-04-14 14:47:47,24.69,12.54,142,51.9766775223881,5.62495105970149
2025-04-17 16:33:12,28.65,55.25,3057,51.9766775223881,5.62524031343284
2025-04-17 16:33:05,28.84,55.34,3043,51.9766775223881,5.62552956716418
2025-04-15 09:24:59,8.71,15.97,374,51.9766775223881,5.62581882089552
2025-04-17 16:27:14,28.13,91.57,5420,51.9766775223881,5.62610807462687
2025-04-14 16:20:53,33.16,23.82,516,51.9766775223881,5.62639732835821
2025-04-14 16:19:50,35.1,26.09,587,51.9766775223881,5.62668658208955
2025-04-17 16:15:01,23.07,13.01,629,51.9766775223881,5.6269758358209
2025-04-14 14:44:03,24.39,22.07,465,51.9766775223881,5.62726508955224
2025-04-17 16:33:19,28.57,55.34,3062,51.9766775223881,5.62755434328358
2025-04-17 16:17:06,23.12,55.7,2955,51.9766775223881,5.62784359701493
2025-04-17 16:14:20,22.89,30.74,1009,51.9766775223881,5.62813285074627
2025-04-14 14:47:00,24.52,14.03,181,51.9766775223881,5.62842210447761
2025-04-17 16:29:25,21.42,0,169,51.9766775223881,5.62871135820896
2025-04-17 16:32:08,29.91,62.34,3263,51.9766775223881,5.6290006119403
2025-04-17 16:17:22,23.2,51.12,2529,51.9766775223881,5.62928986567164
2025-04-17 16:26:19,29.59,100,5970,51.9766775223881,5.62957911940299
2025-04-17 16:30:42,30.88,53.27,2993,51.9766775223881,5.62986837313433
2025-04-17 16:14:06,21.73,33.93,1140,51.9766775223881,5.63015762686567
2025-04-15 09:22:28,9.87,9.49,75,51.9766775223881,5.63044688059702
2025-04-17 16:07:20,23.1,82.66,6021,51.9766775223881,5.63073613432836
2025-04-14 16:20:23,33.79,21.8,431,51.9766775223881,5.6310253880597
2025-04-14 15:44:20,30.2,11.54,90,51.9766775223881,5.63131464179105
2025-04-17 16:31:57,28.77,61.33,3275,51.9766775223881,5.63160389552239
2025-04-14 14:47:18,24.49,14.5,156,51.9766775223881,5.63189314925373
2025-04-14 15:45:46,29.62,0,20,51.9766775223881,5.63218240298508
2025-04-14 14:47:47,24.69,12.54,142,51.9766775223881,5.63247165671642
2025-04-14 15:44:08,30.35,11.96,85,51.9766775223881,5.63276091044776
2025-04-17 16:30:55,29.4,55.97,3020,51.9766775223881,5.6330501641791
2025-04-17 16:17:32,23.28,51.27,2561,51.9766775223881,5.63333941791045
2025-04-15 09:24:51,8.84,15.97,370,51.9766775223881,5.63362867164179
2025-04-17 16:29:56,28.28,51.5,2506,51.9766775223881,5.63391792537313
2025-04-17 16:32:14,30.15,62.34,3237,51.9766775223881,5.63420717910448
2025-04-14 16:20:11,33.86,21.07,408,51.9766775223881,5.63449643283582
2025-04-15 09:32:21,16.73,3.82,26,51.9766775223881,5.63478568656716
2025-04-15 09:32:40,16.59,10.86,109,51.9766775223881,5.63507494029851
2025-04-15 09:24:12,8.74,18.12,474,51.9766775223881,5.63536419402985
2025-04-15 09:41:13,17.89,17.5,465,51.9766775223881,5.63565344776119
2025-04-14 14:42:11,24.24,21.75,547,51.9766775223881,5.63594270149254
2025-04-14 14:47:29,24.67,0,0,51.9766775223881,5.63623195522388
2025-04-17 16:27:05,28.28,91.57,5401,51.9766775223881,5.63652120895522
2025-04-14 16:39:28,34.82,12.37,146,51.9766775223881,5.63681046268657
2025-04-14 15:45:03,30.39,11.69,94,51.9766775223881,5.63709971641791
2025-04-14 15:44:07,30.44,0.02,16,51.9766775223881,5.63738897014925
2025-04-15 09:32:02,16.7,9.28,73,51.9766775223881,5.6376782238806
2025-04-17 16:29:52,28.09,51.42,2512,51.9766775223881,5.63796747761194
2025-04-15 09:23:58,8.77,18.12,473,51.9766775223881,5.63825673134328
2025-04-17 16:27:03,28.35,91.57,5398,51.9766775223881,5.63854598507463
2025-04-17 16:15:20,22.56,38.91,2305,51.9766775223881,5.63883523880597
2025-04-17 16:31:12,29.04,56.16,3067,51.9766775223881,5.63912449253731
2025-04-15 09:41:03,17.84,15.3,362,51.9766775223881,5.63941374626866
2025-04-15 09:33:29,17.12,10.63,106,51.9766775223881,5.639703
2025-04-14 16:20:02,34.5,25.07,472,51.9768244029851,5.620323
2025-04-17 16:15:47,23.23,53.67,2488,51.9768244029851,5.62061225373134
2025-04-14 16:38:50,35.49,12.17,154,51.9768244029851,5.62090150746269
2025-04-17 16:16:41,22.87,52.72,2704,51.9768244029851,5.62119076119403
2025-04-14 14:43:20,24.22,22.54,450,51.9768244029851,5.62148001492537
2025-04-14 16:37:44,35.29,13.01,158,51.9768244029851,5.62176926865672
2025-04-15 09:24:37,8.8,15.3,399,51.9768244029851,5.62205852238806
2025-04-17 16:27:07,28.26,91.57,5407,51.9768244029851,5.6223477761194
2025-04-17 16:16:22,22.69,32.61,1318,51.9768244029851,5.62263702985075
2025-04-17 16:31:01,29.13,55.97,3060,51.9768244029851,5.62292628358209
2025-04-17 16:07:27,23.17,49.07,2500,51.9768244029851,5.62321553731343
2025-04-15 09:25:16,8.51,15.51,381,51.9768244029851,5.62350479104478
2025-04-15 09:33:08,17.06,10.3,84,51.9768244029851,5.62379404477612
2025-04-14 16:19:47,35.1,25.93,586,51.9768244029851,5.62408329850746
2025-04-14 14:47:57,24.69,12.54,142,51.9768244029851,5.62437255223881
2025-04-14 16:39:00,35.44,10.79,101,51.9768244029851,5.62466180597015
2025-04-17 16:00:37,23.35,9.89,88,51.9768244029851,5.62495105970149
2025-04-17 16:02:19,23.63,19.31,475,51.9768244029851,5.62524031343284
2025-04-14 15:45:25,30.01,21.86,731,51.9768244029851,5.62552956716418
2025-04-17 16:03:38,23.4,20.13,433,51.9768244029851,5.62581882089552
2025-04-14 14:44:05,24.39,22.07,466,51.9768244029851,5.62610807462687
2025-04-15 09:33:21,17.15,10.63,105,51.9768244029851,5.62639732835821
2025-04-14 15:44:11,30.25,11.54,88,51.9768244029851,5.62668658208955
2025-04-17 16:14:10,22.25,28.42,902,51.9768244029851,5.6269758358209
2025-04-14 14:47:53,24.69,12.54,142,51.9768244029851,5.62726508955224
2025-04-14 14:47:27,24.62,14.5,158,51.9768244029851,5.62755434328358
2025-04-17 16:15:57,23.07,47.01,2272,51.9768244029851,5.62784359701493
